PDK,Status,Name,Owner,Work type,Tag,Branch,Creator,Is automated,Business line,Summary,Accounting type
tx-filing-of-eci,active,Estimated Chargeable Income (ECI) filing is coming,,communication,filing flow,SG,"agent, system",TRUE,taxation,"This ticket was created to notify the client about the upcoming ECI filing for the Financial Year End ${fiscalYearEnd}, and encourage them to submit their documents earlier.

Kindly advise the client if they have any questions and resolve the ticket. Cancel the ticket if no questions were raised and it is past {financial year end + 3 months}.",OA
tx-filing-tax-return,active,General Tax Matters ?,,agent,,"GB, SG",agent,,taxation,,
tx-follow-up,deprecated,,,communication,,"GB, SG",,,taxation,Follow-ups for consultation sessions,
tx-other,active,,,communication,,"GB, HK, SG",agent,,taxation,,
tx-payroll-consult,active,Payroll Enquiries ?,Client experience,agent,,"GB, SG",agent,,payroll,Payroll and PAYE advisory,
tx-self-assessment-reg,deprecated,Self-assessment Registration Enquiries,,agent,,GB,,,taxation,Self-Assessment registration consultation,
tx-tax-clearance,active,General Tax Matters ?,,agent,,"GB, SG",agent,,taxation,,
tx-tax-investigation,deprecated,Tax Compliance,,agent,,GB,,,taxation,Investigate and file a response to HRMC compliance requests,
tx-tax-planning-consult,deprecated,Tax Planning Enquiries,,communication,,GB,,,taxation,VAT / other tax planning consultation,
tx-vat-deregistration,active,"Cancellation of the VAT Registration
VAT Deregistration",,agent,one-off,GB,"agent, system",FALSE,taxation,VAT deregistration,"OA, Xero"
up-accounting,deprecated,,,agent,,"GB, HK, SG",,,upsell,,
up-accounting,deprecated,,,communication,,"GB, SG",,,accounting,Open format ticket regarding accounting matters,
up-renewal-accounting,deprecated,,,communication,,?,,,whiteLabel,,
up-renewal-accounting,deprecated,,,agent,,"GB, HK, SG",,,upsell,,
up-renewal-address,deprecated,RO Service,,client,,"GB, SG",,,upsell,,
up-renewal-address,deprecated,,,communication,,?,,,whiteLabel,,
up-renewal-automatic,deprecated,Hi! It’s time to renew your services!,,client,,"GB, HK, SG",,,upsell,,
up-renewal-automatic-agent-engagement,deprecated,,,client,,?,,,billing,Renewal of the subscription,
up-renewal-automatic-fallback,deprecated,,,client,,,,,upsell,,
up-renewal-corporate-secretary-registered-office,deprecated,,,communication,,?,,,upsell,,
up-renewal-corporate-secretary-registered-office-nominee-director,deprecated,,,communication,,?,,,upsell,,
up-renewal-monthly,active,Hi! Your subscription renewal is coming soon,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-renewal-monthly-bank-transfer,active,Hi! Your subscription renewal is coming soon,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-renewal-monthly-direct-debit,active,,,client,,GB,system,TRUE,renewalsUpsell,,
up-renewal-nominee-director,deprecated,,,communication,,?,,,upsell,,
up-renewal-nominee-director,deprecated,,,communication,,?,,,whiteLabel,,
up-renewal-nominee-shareholder,deprecated,,,communication,,?,,,upsell,,
up-renewal-payroll,deprecated,Payroll package,,client,,"GB, SG",,,upsell,,
up-renewal-quarterly-account-autocalibration,active,Your accounting plan requires an upgrade,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-renewal-secretary,deprecated,Upsell Director's reso request,,client,,"GB, SG",,,upsell,,
up-renewal-ufs-account-autocalibration,active,Your accounting plan requires an upgrade,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-renewal-ufs-monthly-account-autocalibration,deprecated,Your accounting plan requires an upgrade,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-renewal-yearly,active,Hi! It’s time to renew your services!,,client,,"GB, HK, SG","agent, system",TRUE,renewalsUpsell,,
up-renewal-yearly-auto-charge,active,Hi! Your subscription renewal is coming soon,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-renewal-yearly-direct-debit,active,,,client,,GB,system,TRUE,renewalsUpsell,,
up-renewal-yearly-autocalibration,active,It's time to renew & upgrade your subscription,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-renewal-monthly-autocalibration,deprecated,It's time to renew & upgrade your subscription,,client,,"GB, HK, SG",system,TRUE,renewalsUpsell,,
up-secretary,deprecated,,,agent,,"GB, SG",,,upsell,,
wl-other,active,,,agent,,"GB, HK, SG",agent,,whiteLabel,,
wl-renewal,active,Renewal <Date>,,agent,,"GB, SG","agent, system",,whiteLabel,,
as-suspense-tax-rate-check,active,Suspense tax rate check ticket for an accounting document <DocumentID>,,agent,,GB,system,,other,,
cs-compliance,active,Compliance (RAF),,agent,,GB,system,,compliance,,
ob-take-your-money-out,active,How to take money out from your company,,communication,,GB,system,,onboarding,,
ac-document-simple-reconciliation,active,Simple Reconciliation,,agent,,"GB, HK, SG",system,FALSE,,,
ax-bookkeeping-validation,active,Bookkeeping Validation,,agent,filing flow,"GB, HK, SG",system,TRUE,accounting,Validation flow. Leads to setting the “Bookkeeping is done flag” and start of Review process,OA
ax-tax-validation,active,Bookkeeping Tax Validation,,agent,filing flow,"GB, HK, SG",system,TRUE,accounting,Validation flow. Leads to setting the “Bookkeeping is done flag” and start of Review process,OA
ac-sa-report-internal,active,Self-Assessment Report,,agent,filing flow,GB,system,,taxation,,
ax-accounts-review,active,Review with Accountant,,agent,filing flow,"GB, SG",system,TRUE,accounting,Review with Accountant for some period,OA
ax-audit-quotation,active,Ticket for providing communication for audit process,,communication,,HK,system,TRUE,accounting,,
ax-ufs-report,active,UFS report creation,,agent,filing flow,SG,system,TRUE,accounting,Create UFS report for some period for review,OA
ax-afs-report,active,AFS report creation,,agent,filing flow,HK,system,TRUE,"accounting, audit",Create AFS report for some period for review,OA
ax-tax-review,active,Review with Accountant for tax period completion,,agent,filing flow,"GB, SG",system,TRUE,accounting,VAT/GST review with Accountant for period,OA
cs-change-of-nominee-directors,active,Change of Nominee Directors,Billing and growth,agent,,SG,system,,corporateSecretary,,
ob-incorporation-request-company-incorporated,active,Company created in Companies House,Billing and growth,agent,,GB,system,,onboarding,Information about incorporated company,
ob-incorporation-request-check-errors,active,Check Companies House request errors,Billing and growth,agent,,GB,system,,onboarding,Errors from Companies House,
cl-other,active,,,agent,,SG,agent,,,,
cs-nominee-director-resignation-fix-error,active,Need Fix Nominee Director Resignation,Billing and growth,agent,,SG,system,,corporateSecretary,,
cs-nominee-director-resignation-notice,active,Nominee Director Status Update,Billing and growth,agent,,SG,system,,corporateSecretary,,
cr-restore-my-account,deprecated,,,agent,,"GB, HK, SG",client,,other,special pdk which is used when user wants to change his email or/and pahoneNumber,"None-accounting, OA, Xero"
ax-self-assessment-tax-return-filing-to-hmrc,active,Self Assessment Tax Return for <Year>,,agent,filing flow,GB,system,,accounting,"Work ticket for ""selfAssessmentTaxReturnFilingToHmrc"" company event","OA, Xero"
ac-continuos-complex-reconciliation-out,active,Complex Reconciliation out,,agent,,"GB, HK, SG",system,TRUE,accounting,Ticket for complex transaction reconciliation with suggested documents with movement out,OA
ac-continuos-complex-reconciliation-in,active,Complex Reconciliation in,,agent,,"GB, HK, SG",system,TRUE,accounting,Ticket for complex transaction reconciliation with suggested documents with movement in,OA
cs-dividend,active,Dividend,Client experience,agent,,"GB, HK, SG",agent,FALSE,corporateSecretary,,
cs-deregistration,active,Deregistration,Client experience,agent,,"GB, HK, SG",agent,FALSE,corporateSecretary,,
cs-chop-and-seals,active,Chop and seals,Client experience,agent,,"GB, HK, SG",agent,FALSE,corporateSecretary,,
cs-apply-dormancy,active,Apply dormancy,Client experience,agent,,"GB, HK, SG",agent,FALSE,corporateSecretary,,
cs-cease-dormancy,active,Cease dormancy,Client experience,agent,,"GB, HK, SG",agent,FALSE,corporateSecretary,,
cs-annual-returns-filing,active,Annual Return filing to Companies Registry,,agent,filing flow,HK,system,TRUE,corporateSecretary,,
cs-business-registration-certificate,active,Business Registration Certificate filing to Inland Revenue Department,,agent,,HK,system,TRUE,corporateSecretary,,
ax-audited-financial-statements-filing,active,Audited Financial Statements filing to Inland Revenue Department,,agent,filing flow,HK,system,TRUE,accounting,,
ax-profit-tax-return-filing,active,Profit Tax Return filing to Inland Revenue Department,,agent,,HK,system,TRUE,accounting,,
ax-employees-return-filing,active,Employees Return filing to Inland Revenue Department,,agent,,HK,system,TRUE,accounting,,
ob-manual-data-collection,active,Manual data collection,Client experience,communication,,"GB, HK, SG",agent,FALSE,onboarding,This ticket will be used for manual data collection in cases when there are problems with automated onboarding tickets,
"cs-amendment-articles ",,Amendment of Articles of Association,,,,HK,system,TRUE,corporateSecretary,Amendment of Articles of Association,
"cs-change-reg-cert-info ",,Change of Business Registration Certificate information,,,,HK,system,TRUE,corporateSecretary,Change of Business Registration Certificate information,
"cs-cert-of-corp-docs ",,Certification of corporate documents,,,,HK,system,TRUE,corporateSecretary,"Certification of corporate documents, per document",
cs-prep-resolution,,Preparation of resolution,,,,HK,system,TRUE,corporateSecretary,"Preparation of resolution, per document",
cs-purchase-ird-cr,,Purchase of documents IRD/CR,,,,HK,system,TRUE,corporateSecretary,Purchase of documents IRD/CR,
cs-consolidation-of-shares,active,Consolidation of Shares,Client experience,agent,,SG,agent,FALSE,corporateSecretary,,
cs-bank-account-related-requests,active,Bank Account related requests,Client experience,agent,,SG,agent,FALSE,corporateSecretary,,
cs-directors-fee,active,Director's Fee,Client experience,agent,,SG,agent,FALSE,corporateSecretary,,
cs-change-of-corporate-representative,active,Change of corporate representative,Client experience,agent,,SG,agent,FALSE,corporateSecretary,,
